name,m,n,k,rinv_check,gap_min,rtol_R,rtol_rinv,rtol_crit
gaussian_square_a,40,40,40,0,0.00058056364850135492,1e-10,2e-08,1.0000000000000001e-09
gaussian_square_b,48,48,48,0,0.00016598296437506224,1e-10,2e-08,1.0000000000000001e-09
gaussian_tall,60,24,24,0,0.0032541315954846971,1e-10,2e-08,1.0000000000000001e-09
gaussian_shortwide,24,96,24,1,0.0011304054531021495,1e-10,2e-08,1.0000000000000001e-09
gaussian_early_stop,40,40,16,1,0.00036670981156694998,1e-10,2e-08,1.0000000000000001e-09
illcond_square,48,48,48,0,0.0012167453703502543,1e-10,2e-08,0.0001
illcond_shortwide,24,96,24,0,0.032767551203392149,1e-10,2e-08,0.0001
orthrows_24x96,24,96,24,1,0.00089842332933025694,1e-10,2e-08,1.0000000000000001e-09
orthrows_32x64,32,64,32,1,0.0009836518125959186,1e-10,2e-08,1.0000000000000001e-09
scaled_cols,32,48,32,1,0.016870054588286072,1e-10,2e-08,1.0000000000000001e-09
